MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
PCA,contraceptive,_delaunay_area_volume_ratio_1,RF,area_volume_ratio,1,0.192,0.22000000000000003,0.792,0.2,0.28,0.14
PCA,contraceptive,_delaunay_area_volume_ratio_1,SGD,area_volume_ratio,1,0.194,0.256,0.762,0.192,0.23199999999999998,0.10199999999999998
PCA,contraceptive,_delaunay_area_volume_ratio_1,SVM,area_volume_ratio,1,0.202,0.22800000000000004,0.77,0.09000000000000001,0.042,0.006
PCA,contraceptive,_delaunay_area_volume_ratio_4,ABC,area_volume_ratio,4,0.196,0.22000000000000003,0.808,0.20600000000000002,0.28200000000000003,0.14600000000000002
PCA,contraceptive,_delaunay_area_volume_ratio_4,DTREE,area_volume_ratio,4,0.194,0.21000000000000002,0.8019999999999999,0.196,0.28,0.138
PCA,contraceptive,_delaunay_area_volume_ratio_4,GNB,area_volume_ratio,4,0.196,0.186,0.8459999999999999,0.19,0.268,0.132
PCA,contraceptive,_delaunay_area_volume_ratio_4,KNN,area_volume_ratio,4,0.196,0.20400000000000001,0.8119999999999999,0.196,0.278,0.136
PCA,contraceptive,_delaunay_area_volume_ratio_4,LRG,area_volume_ratio,4,0.202,0.26,0.772,0.21600000000000003,0.296,0.15000000000000002
PCA,contraceptive,_delaunay_area_volume_ratio_4,MLP,area_volume_ratio,4,0.20600000000000002,0.22200000000000003,0.8160000000000001,0.21200000000000002,0.29000000000000004,0.15600000000000003
PCA,contraceptive,_delaunay_area_volume_ratio_4,QDA,area_volume_ratio,4,0.21800000000000003,0.16999999999999998,0.86,0.188,0.266,0.13
PCA,contraceptive,_delaunay_area_volume_ratio_4,RF,area_volume_ratio,4,0.198,0.22400000000000003,0.7939999999999999,0.20600000000000002,0.28600000000000003,0.14800000000000002
PCA,contraceptive,_delaunay_area_volume_ratio_4,SGD,area_volume_ratio,4,0.166,0.164,0.8240000000000001,0.13,0.188,0.07800000000000001
PCA,contraceptive,_delaunay_area_volume_ratio_4,SVM,area_volume_ratio,4,0.166,0.22800000000000004,0.772,0.08800000000000001,0.034,0.004
PCA,contraceptive,_delaunay_area_volume_ratio_9,ABC,area_volume_ratio,9,0.2,0.22400000000000003,0.808,0.20800000000000002,0.28600000000000003,0.15
PCA,contraceptive,_delaunay_area_volume_ratio_9,DTREE,area_volume_ratio,9,0.19,0.21200000000000002,0.8,0.196,0.278,0.136
PCA,contraceptive,_delaunay_area_volume_ratio_9,GNB,area_volume_ratio,9,0.194,0.188,0.8459999999999999,0.192,0.272,0.134
PCA,contraceptive,_delaunay_area_volume_ratio_9,KNN,area_volume_ratio,9,0.196,0.20600000000000002,0.8139999999999998,0.196,0.28200000000000003,0.136
PCA,contraceptive,_delaunay_area_volume_ratio_9,LRG,area_volume_ratio,9,0.20400000000000001,0.262,0.768,0.21600000000000003,0.296,0.15200000000000002
PCA,contraceptive,_delaunay_area_volume_ratio_9,MLP,area_volume_ratio,9,0.21000000000000002,0.23399999999999999,0.8160000000000001,0.21800000000000003,0.29400000000000004,0.16200000000000003
PCA,contraceptive,_delaunay_area_volume_ratio_9,QDA,area_volume_ratio,9,0.21000000000000002,0.17,0.8539999999999999,0.186,0.266,0.128
PCA,contraceptive,_delaunay_area_volume_ratio_9,RF,area_volume_ratio,9,0.196,0.22999999999999998,0.794,0.20800000000000002,0.29000000000000004,0.14800000000000002
PCA,contraceptive,_delaunay_area_volume_ratio_9,SGD,area_volume_ratio,9,0.186,0.192,0.8240000000000001,0.156,0.21599999999999997,0.096
PCA,contraceptive,_delaunay_area_volume_ratio_9,SVM,area_volume_ratio,9,0.19,0.22600000000000003,0.772,0.09000000000000001,0.046000000000000006,0.006
PCA,contraceptive,_delaunay_aspect_ratio_1,ABC,aspect_ratio,1,0.198,0.244,0.798,0.21600000000000003,0.29600000000000004,0.16
PCA,contraceptive,_delaunay_aspect_ratio_1,DTREE,aspect_ratio,1,0.178,0.188,0.798,0.176,0.264,0.122
PCA,contraceptive,_delaunay_aspect_ratio_1,GNB,aspect_ratio,1,0.196,0.184,0.8459999999999999,0.19,0.266,0.134
PCA,contraceptive,_delaunay_aspect_ratio_1,KNN,aspect_ratio,1,0.194,0.2,0.8119999999999999,0.19,0.276,0.132
PCA,contraceptive,_delaunay_aspect_ratio_1,LRG,aspect_ratio,1,0.202,0.262,0.7740000000000001,0.21800000000000003,0.298,0.15200000000000002
PCA,contraceptive,_delaunay_aspect_ratio_1,MLP,aspect_ratio,1,0.20800000000000002,0.22599999999999998,0.8140000000000001,0.21600000000000003,0.29200000000000004,0.15600000000000003
PCA,contraceptive,_delaunay_aspect_ratio_1,QDA,aspect_ratio,1,0.21600000000000003,0.172,0.858,0.19,0.268,0.13
PCA,contraceptive,_delaunay_aspect_ratio_1,RF,aspect_ratio,1,0.194,0.22599999999999998,0.79,0.20600000000000002,0.28600000000000003,0.14600000000000002
PCA,contraceptive,_delaunay_aspect_ratio_1,SGD,aspect_ratio,1,0.162,0.23399999999999999,0.7739999999999999,0.156,0.182,0.088
PCA,contraceptive,_delaunay_aspect_ratio_1,SVM,aspect_ratio,1,0.166,0.22800000000000004,0.77,0.08800000000000001,0.034,0.004
PCA,contraceptive,_delaunay_aspect_ratio_4,ABC,aspect_ratio,4,0.196,0.22400000000000003,0.806,0.20600000000000002,0.28600000000000003,0.14800000000000002
PCA,contraceptive,_delaunay_aspect_ratio_4,DTREE,aspect_ratio,4,0.184,0.196,0.8019999999999999,0.184,0.27,0.126
PCA,contraceptive,_delaunay_aspect_ratio_4,GNB,aspect_ratio,4,0.198,0.186,0.85,0.188,0.266,0.134
PCA,contraceptive,_delaunay_aspect_ratio_4,KNN,aspect_ratio,4,0.198,0.202,0.8119999999999999,0.192,0.278,0.134
PCA,contraceptive,_delaunay_aspect_ratio_4,LRG,aspect_ratio,4,0.20400000000000001,0.258,0.7740000000000001,0.21800000000000003,0.298,0.15200000000000002
PCA,contraceptive,_delaunay_aspect_ratio_4,MLP,aspect_ratio,4,0.2,0.22600000000000003,0.812,0.21000000000000002,0.29000000000000004,0.15200000000000002
PCA,contraceptive,_delaunay_aspect_ratio_4,QDA,aspect_ratio,4,0.21600000000000003,0.16999999999999998,0.858,0.188,0.268,0.128
PCA,contraceptive,_delaunay_aspect_ratio_4,RF,aspect_ratio,4,0.192,0.22400000000000003,0.788,0.20400000000000001,0.28400000000000003,0.14600000000000002
PCA,contraceptive,_delaunay_aspect_ratio_4,SGD,aspect_ratio,4,0.20600000000000002,0.176,0.836,0.14200000000000002,0.198,0.078
PCA,contraceptive,_delaunay_aspect_ratio_4,SVM,aspect_ratio,4,0.166,0.22800000000000004,0.77,0.08800000000000001,0.03200000000000001,0.004
PCA,contraceptive,_delaunay_aspect_ratio_9,ABC,aspect_ratio,9,0.194,0.22599999999999998,0.8019999999999999,0.20600000000000002,0.28400000000000003,0.154
PCA,contraceptive,_delaunay_aspect_ratio_9,DTREE,aspect_ratio,9,0.188,0.20800000000000002,0.792,0.194,0.276,0.134
PCA,contraceptive,_delaunay_aspect_ratio_9,GNB,aspect_ratio,9,0.196,0.186,0.8459999999999999,0.19,0.27,0.134
PCA,contraceptive,_delaunay_aspect_ratio_9,KNN,aspect_ratio,9,0.198,0.21000000000000002,0.8139999999999998,0.19999999999999998,0.28400000000000003,0.14200000000000002
PCA,contraceptive,_delaunay_aspect_ratio_9,LRG,aspect_ratio,9,0.20400000000000001,0.258,0.772,0.21800000000000003,0.296,0.15000000000000002
PCA,contraceptive,_delaunay_aspect_ratio_9,MLP,aspect_ratio,9,0.2,0.23200000000000004,0.808,0.21400000000000002,0.29000000000000004,0.15600000000000003
PCA,contraceptive,_delaunay_aspect_ratio_9,QDA,aspect_ratio,9,0.21000000000000002,0.168,0.8559999999999999,0.184,0.262,0.128
PCA,contraceptive,_delaunay_aspect_ratio_9,RF,aspect_ratio,9,0.194,0.22599999999999998,0.7859999999999999,0.20600000000000002,0.28400000000000003,0.14600000000000002
PCA,contraceptive,_delaunay_aspect_ratio_9,SGD,aspect_ratio,9,0.186,0.22000000000000003,0.8099999999999999,0.166,0.22199999999999998,0.10200000000000001
PCA,contraceptive,_delaunay_aspect_ratio_9,SVM,aspect_ratio,9,0.21200000000000002,0.22600000000000003,0.77,0.09200000000000001,0.046000000000000006,0.006
PCA,contraceptive,_delaunay_edge_ratio_1,ABC,edge_ratio,1,0.196,0.22800000000000004,0.8019999999999999,0.20800000000000002,0.28600000000000003,0.152
PCA,contraceptive,_delaunay_edge_ratio_1,DTREE,edge_ratio,1,0.182,0.196,0.8,0.182,0.268,0.124
PCA,contraceptive,_delaunay_edge_ratio_1,GNB,edge_ratio,1,0.196,0.184,0.8459999999999999,0.19,0.268,0.134
PCA,contraceptive,_delaunay_edge_ratio_1,KNN,edge_ratio,1,0.19,0.202,0.808,0.192,0.278,0.132
PCA,contraceptive,_delaunay_edge_ratio_1,LRG,edge_ratio,1,0.202,0.258,0.7740000000000001,0.21800000000000003,0.294,0.152
PCA,contraceptive,_delaunay_edge_ratio_1,MLP,edge_ratio,1,0.20600000000000002,0.22800000000000004,0.8140000000000001,0.21400000000000002,0.29200000000000004,0.15800000000000003
PCA,contraceptive,_delaunay_edge_ratio_1,QDA,edge_ratio,1,0.21600000000000003,0.16999999999999998,0.86,0.186,0.268,0.13
PCA,contraceptive,_delaunay_edge_ratio_1,RF,edge_ratio,1,0.198,0.22999999999999998,0.7959999999999999,0.21000000000000002,0.29200000000000004,0.14800000000000002
PCA,contraceptive,_delaunay_edge_ratio_1,SGD,edge_ratio,1,0.178,0.21000000000000002,0.8039999999999999,0.156,0.20600000000000002,0.094
PCA,contraceptive,_delaunay_edge_ratio_1,SVM,edge_ratio,1,0.19,0.22800000000000004,0.772,0.084,0.024,0.0
PCA,contraceptive,_delaunay_edge_ratio_4,ABC,edge_ratio,4,0.196,0.23200000000000004,0.804,0.21400000000000002,0.29000000000000004,0.15400000000000003
PCA,contraceptive,_delaunay_edge_ratio_4,DTREE,edge_ratio,4,0.192,0.21200000000000002,0.8019999999999999,0.196,0.278,0.136
PCA,contraceptive,_delaunay_edge_ratio_4,GNB,edge_ratio,4,0.194,0.184,0.8480000000000001,0.188,0.268,0.134
PCA,contraceptive,_delaunay_edge_ratio_4,KNN,edge_ratio,4,0.194,0.20800000000000002,0.8100000000000002,0.196,0.28200000000000003,0.136
PCA,contraceptive,_delaunay_edge_ratio_4,LRG,edge_ratio,4,0.202,0.256,0.772,0.21400000000000002,0.296,0.152
PCA,contraceptive,_delaunay_edge_ratio_4,MLP,edge_ratio,4,0.20600000000000002,0.23399999999999999,0.8099999999999999,0.21800000000000003,0.29200000000000004,0.16
PCA,contraceptive,_delaunay_edge_ratio_4,QDA,edge_ratio,4,0.21200000000000002,0.16999999999999998,0.8560000000000001,0.184,0.262,0.128
PCA,contraceptive,_delaunay_edge_ratio_4,RF,edge_ratio,4,0.19,0.22599999999999998,0.784,0.20600000000000002,0.28400000000000003,0.14800000000000002
