,ARQUIVO,WINER
244,pca_media_rank_biclasse_solid_angle_1_QDA_f1.csv,ORIGINAL
245,pca_media_rank_biclasse_solid_angle_1_RF_f1.csv,SMOTE_SVM
246,pca_media_rank_biclasse_aspect_ratio_1_DTREE_iba.csv,SMOTE_SVM
247,pca_media_rank_biclasse_radius_ratio_9_QDA_f1.csv,ORIGINAL
248,pca_media_rank_biclasse_area_4_ABC_auc.csv,SMOTE_SVM
249,pca_media_rank_biclasse_area_1_SGD_geo.csv,SMOTE
250,pca_media_rank_biclasse_solid_angle_4_DTREE_iba.csv,SMOTE_SVM
251,pca_media_rank_biclasse_solid_angle_1_KNN_iba.csv,DELAUNAY
252,pca_media_rank_biclasse_volume_4_RF_auc.csv,BORDERLINE2
253,pca_media_rank_biclasse_volume_9_QDA_f1.csv,ORIGINAL
254,pca_media_rank_biclasse_min_solid_angle_4_SVM_auc.csv,SMOTE
255,pca_media_rank_biclasse_aspect_ratio_1_QDA_iba.csv,SMOTE
256,pca_media_rank_biclasse_min_solid_angle_1_RF_auc.csv,DELAUNAY
257,pca_media_rank_biclasse_volume_1_QDA_auc.csv,SMOTE_SVM
258,pca_media_rank_biclasse_volume_9_MLP_f1.csv,SMOTE_SVM
259,pca_media_rank_biclasse_min_solid_angle_1_ABC_iba.csv,SMOTE
260,pca_media_rank_biclasse_volume_9_MLP_auc.csv,BORDERLINE2
261,pca_media_rank_biclasse_area_volume_ratio_1_LRG_iba.csv,BORDERLINE1
262,pca_media_rank_biclasse_area_4_KNN_auc.csv,BORDERLINE1
263,pca_media_rank_biclasse_max_solid_angle_9_DTREE_iba.csv,DELAUNAY
264,pca_media_rank_biclasse_radius_ratio_1_RF_f1.csv,SMOTE_SVM
265,pca_media_rank_biclasse_min_solid_angle_1_KNN_geo.csv,BORDERLINE1
266,pca_media_rank_biclasse_area_4_SGD_geo.csv,SMOTE
267,pca_media_rank_biclasse_edge_ratio_4_SGD_iba.csv,SMOTE
268,pca_media_rank_biclasse_solid_angle_4_DTREE_auc.csv,SMOTE_SVM
269,pca_media_rank_biclasse_volume_4_GNB_iba.csv,SMOTE
270,pca_media_rank_biclasse_max_solid_angle_4_ABC_geo.csv,DELAUNAY
271,pca_media_rank_biclasse_area_volume_ratio_9_QDA_f1.csv,ORIGINAL
272,pca_media_rank_biclasse_min_solid_angle_1_DTREE_auc.csv,SMOTE_SVM
273,pca_media_rank_biclasse_area_4_MLP_geo.csv,BORDERLINE2
274,pca_media_rank_biclasse_area_volume_ratio_1_RF_auc.csv,DELAUNAY
275,pca_media_rank_biclasse_solid_angle_9_GNB_geo.csv,SMOTE
276,pca_media_rank_biclasse_min_solid_angle_4_SVM_geo.csv,SMOTE
277,pca_media_rank_biclasse_min_solid_angle_9_QDA_f1.csv,ORIGINAL
278,pca_media_rank_biclasse_edge_ratio_4_ABC_iba.csv,SMOTE
279,pca_media_rank_biclasse_edge_ratio_4_KNN_iba.csv,DELAUNAY
280,pca_media_rank_biclasse_aspect_ratio_1_RF_iba.csv,BORDERLINE2
281,pca_media_rank_biclasse_radius_ratio_1_GNB_auc.csv,SMOTE
282,pca_media_rank_biclasse_aspect_ratio_9_MLP_f1.csv,SMOTE_SVM
283,pca_media_rank_biclasse_area_volume_ratio_1_QDA_geo.csv,DELAUNAY
284,pca_media_rank_biclasse_area_volume_ratio_1_GNB_iba.csv,SMOTE
285,pca_media_rank_biclasse_radius_ratio_1_SGD_iba.csv,SMOTE
286,pca_media_rank_biclasse_max_solid_angle_9_GNB_f1.csv,ORIGINAL
287,pca_media_rank_biclasse_solid_angle_1_RF_iba.csv,DELAUNAY
288,pca_media_rank_biclasse_solid_angle_4_QDA_auc.csv,DELAUNAY
289,pca_media_rank_biclasse_max_solid_angle_9_LRG_f1.csv,SMOTE_SVM
290,pca_media_rank_biclasse_aspect_ratio_9_DTREE_geo.csv,SMOTE_SVM
291,pca_media_rank_biclasse_volume_1_LRG_auc.csv,BORDERLINE1
292,pca_media_rank_biclasse_max_solid_angle_4_SVM_geo.csv,SMOTE
293,pca_media_rank_biclasse_edge_ratio_4_SVM_f1.csv,SMOTE
294,pca_media_rank_biclasse_solid_angle_1_GNB_iba.csv,SMOTE
295,pca_media_rank_biclasse_area_volume_ratio_1_SGD_geo.csv,SMOTE
296,pca_media_rank_biclasse_max_solid_angle_1_ABC_geo.csv,DELAUNAY
297,pca_media_rank_biclasse_aspect_ratio_9_QDA_f1.csv,ORIGINAL
298,pca_media_rank_biclasse_aspect_ratio_9_GNB_auc.csv,SMOTE
299,pca_media_rank_biclasse_min_solid_angle_1_QDA_geo.csv,DELAUNAY
300,pca_media_rank_biclasse_max_solid_angle_4_RF_geo.csv,DELAUNAY
301,pca_media_rank_biclasse_volume_1_DTREE_f1.csv,ORIGINAL
302,pca_media_rank_biclasse_edge_ratio_4_SVM_auc.csv,SMOTE
303,pca_media_rank_biclasse_max_solid_angle_4_LRG_geo.csv,BORDERLINE1
304,pca_media_rank_biclasse_aspect_ratio_4_KNN_iba.csv,DELAUNAY
305,pca_media_rank_biclasse_min_solid_angle_9_GNB_iba.csv,SMOTE
306,pca_media_rank_biclasse_min_solid_angle_4_QDA_auc.csv,DELAUNAY
307,pca_media_rank_biclasse_edge_ratio_9_LRG_iba.csv,BORDERLINE1
308,pca_media_rank_biclasse_solid_angle_1_LRG_auc.csv,BORDERLINE1
309,pca_media_rank_biclasse_edge_ratio_4_RF_f1.csv,SMOTE_SVM
310,pca_media_rank_biclasse_aspect_ratio_9_MLP_iba.csv,BORDERLINE2
311,pca_media_rank_biclasse_solid_angle_9_QDA_auc.csv,DELAUNAY
312,pca_media_rank_biclasse_area_1_LRG_auc.csv,BORDERLINE1
313,pca_media_rank_biclasse_solid_angle_9_GNB_f1.csv,ORIGINAL
314,pca_media_rank_biclasse_area_4_ABC_f1.csv,ORIGINAL
315,pca_media_rank_biclasse_min_solid_angle_1_QDA_iba.csv,DELAUNAY
316,pca_media_rank_biclasse_area_1_KNN_geo.csv,BORDERLINE1
317,pca_media_rank_biclasse_min_solid_angle_9_LRG_f1.csv,SMOTE_SVM
318,pca_media_rank_biclasse_min_solid_angle_1_ABC_auc.csv,SMOTE_SVM
319,pca_media_rank_biclasse_area_1_RF_auc.csv,BORDERLINE2
320,pca_media_rank_biclasse_edge_ratio_9_GNB_geo.csv,SMOTE
321,pca_media_rank_biclasse_edge_ratio_1_KNN_f1.csv,ORIGINAL
322,pca_media_rank_biclasse_area_4_DTREE_f1.csv,ORIGINAL
323,pca_media_rank_biclasse_area_1_QDA_iba.csv,SMOTE
324,pca_media_rank_biclasse_max_solid_angle_9_GNB_iba.csv,SMOTE
325,pca_media_rank_biclasse_radius_ratio_1_QDA_f1.csv,ORIGINAL
326,pca_media_rank_biclasse_edge_ratio_1_SGD_iba.csv,SMOTE
327,pca_media_rank_biclasse_solid_angle_4_QDA_iba.csv,DELAUNAY
328,pca_media_rank_biclasse_area_volume_ratio_4_SGD_geo.csv,SMOTE
329,pca_media_rank_biclasse_area_volume_ratio_1_SVM_geo.csv,SMOTE
330,pca_media_rank_biclasse_min_solid_angle_1_DTREE_geo.csv,SMOTE_SVM
331,pca_media_rank_biclasse_max_solid_angle_9_GNB_auc.csv,SMOTE
332,pca_media_rank_biclasse_area_1_MLP_iba.csv,BORDERLINE2
333,pca_media_rank_biclasse_min_solid_angle_1_SVM_iba.csv,SMOTE
334,pca_media_rank_biclasse_aspect_ratio_1_RF_geo.csv,BORDERLINE2
