ID,DATASET,FOLD,PREPROC,ALGORITHM,MODE,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
contraceptive__delaunay_PCA_volume_9_ABC,contraceptive,0,_delaunay_volume_9,ABC,PCA,volume,9,0.17,0.18,0.79,0.17,0.25,0.12
contraceptive__delaunay_PCA_volume_9_MLP,contraceptive,0,_delaunay_volume_9,MLP,PCA,volume,9,0.19,0.21,0.80,0.20,0.28,0.14
contraceptive__delaunay_PCA_volume_9_QDA,contraceptive,0,_delaunay_volume_9,QDA,PCA,volume,9,0.18,0.20,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_volume_9_SVM,contraceptive,0,_delaunay_volume_9,SVM,PCA,volume,9,0.05,0.22,0.77,0.08,0.03,0.00
contraceptive__delaunay_PCA_volume_9_SGD,contraceptive,0,_delaunay_volume_9,SGD,PCA,volume,9,0.05,0.22,0.78,0.08,0.03,0.00
contraceptive__delaunay_PCA_area_volume_ratio_1_RF,contraceptive,0,_delaunay_area_volume_ratio_1,RF,PCA,area_volume_ratio,1,0.19,0.20,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_volume_ratio_1_KNN,contraceptive,0,_delaunay_area_volume_ratio_1,KNN,PCA,area_volume_ratio,1,0.19,0.18,0.82,0.17,0.26,0.12
contraceptive__delaunay_PCA_area_volume_ratio_1_DTREE,contraceptive,0,_delaunay_area_volume_ratio_1,DTREE,PCA,area_volume_ratio,1,0.18,0.18,0.80,0.17,0.26,0.12
contraceptive__delaunay_PCA_area_volume_ratio_1_GNB,contraceptive,0,_delaunay_area_volume_ratio_1,GNB,PCA,area_volume_ratio,1,0.17,0.17,0.83,0.17,0.25,0.12
contraceptive__delaunay_PCA_area_volume_ratio_1_LRG,contraceptive,0,_delaunay_area_volume_ratio_1,LRG,PCA,area_volume_ratio,1,0.21,0.26,0.77,0.22,0.29,0.15
contraceptive__delaunay_PCA_area_volume_ratio_1_ABC,contraceptive,0,_delaunay_area_volume_ratio_1,ABC,PCA,area_volume_ratio,1,0.21,0.19,0.83,0.20,0.27,0.14
contraceptive__delaunay_PCA_area_volume_ratio_1_MLP,contraceptive,0,_delaunay_area_volume_ratio_1,MLP,PCA,area_volume_ratio,1,0.20,0.20,0.81,0.20,0.27,0.14
contraceptive__delaunay_PCA_area_volume_ratio_1_QDA,contraceptive,0,_delaunay_area_volume_ratio_1,QDA,PCA,area_volume_ratio,1,0.20,0.17,0.84,0.18,0.26,0.12
contraceptive__delaunay_PCA_area_volume_ratio_1_SVM,contraceptive,0,_delaunay_area_volume_ratio_1,SVM,PCA,area_volume_ratio,1,0.05,0.23,0.77,0.08,0.01,0.00
contraceptive__delaunay_PCA_area_volume_ratio_1_SGD,contraceptive,0,_delaunay_area_volume_ratio_1,SGD,PCA,area_volume_ratio,1,0.22,0.27,0.76,0.21,0.27,0.12
contraceptive__delaunay_PCA_area_volume_ratio_4_RF,contraceptive,0,_delaunay_area_volume_ratio_4,RF,PCA,area_volume_ratio,4,0.19,0.19,0.79,0.19,0.26,0.13
contraceptive__delaunay_PCA_area_volume_ratio_4_KNN,contraceptive,0,_delaunay_area_volume_ratio_4,KNN,PCA,area_volume_ratio,4,0.19,0.18,0.81,0.18,0.26,0.12
contraceptive__delaunay_PCA_area_volume_ratio_4_DTREE,contraceptive,0,_delaunay_area_volume_ratio_4,DTREE,PCA,area_volume_ratio,4,0.22,0.23,0.81,0.21,0.30,0.15
contraceptive__delaunay_PCA_area_volume_ratio_4_GNB,contraceptive,0,_delaunay_area_volume_ratio_4,GNB,PCA,area_volume_ratio,4,0.17,0.18,0.83,0.17,0.25,0.12
contraceptive__delaunay_PCA_area_volume_ratio_4_LRG,contraceptive,0,_delaunay_area_volume_ratio_4,LRG,PCA,area_volume_ratio,4,0.20,0.25,0.76,0.21,0.29,0.14
contraceptive__delaunay_PCA_area_volume_ratio_4_ABC,contraceptive,0,_delaunay_area_volume_ratio_4,ABC,PCA,area_volume_ratio,4,0.22,0.21,0.82,0.21,0.28,0.15
contraceptive__delaunay_PCA_area_volume_ratio_4_MLP,contraceptive,0,_delaunay_area_volume_ratio_4,MLP,PCA,area_volume_ratio,4,0.18,0.20,0.79,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_volume_ratio_4_QDA,contraceptive,0,_delaunay_area_volume_ratio_4,QDA,PCA,area_volume_ratio,4,0.21,0.18,0.84,0.19,0.27,0.13
contraceptive__delaunay_PCA_area_volume_ratio_4_SVM,contraceptive,0,_delaunay_area_volume_ratio_4,SVM,PCA,area_volume_ratio,4,0.05,0.23,0.77,0.08,0.01,0.00
contraceptive__delaunay_PCA_area_volume_ratio_4_SGD,contraceptive,0,_delaunay_area_volume_ratio_4,SGD,PCA,area_volume_ratio,4,0.19,0.27,0.76,0.23,0.30,0.16
contraceptive__delaunay_PCA_area_volume_ratio_9_RF,contraceptive,0,_delaunay_area_volume_ratio_9,RF,PCA,area_volume_ratio,9,0.20,0.22,0.80,0.20,0.29,0.14
contraceptive__delaunay_PCA_area_volume_ratio_9_KNN,contraceptive,0,_delaunay_area_volume_ratio_9,KNN,PCA,area_volume_ratio,9,0.19,0.18,0.81,0.18,0.26,0.12
contraceptive__delaunay_PCA_area_volume_ratio_9_DTREE,contraceptive,0,_delaunay_area_volume_ratio_9,DTREE,PCA,area_volume_ratio,9,0.17,0.18,0.80,0.17,0.25,0.11
contraceptive__delaunay_PCA_area_volume_ratio_9_GNB,contraceptive,0,_delaunay_area_volume_ratio_9,GNB,PCA,area_volume_ratio,9,0.17,0.18,0.83,0.17,0.25,0.12
contraceptive__delaunay_PCA_area_volume_ratio_9_LRG,contraceptive,0,_delaunay_area_volume_ratio_9,LRG,PCA,area_volume_ratio,9,0.20,0.25,0.76,0.21,0.29,0.14
contraceptive__delaunay_PCA_area_volume_ratio_9_ABC,contraceptive,0,_delaunay_area_volume_ratio_9,ABC,PCA,area_volume_ratio,9,0.19,0.20,0.81,0.19,0.26,0.14
contraceptive__delaunay_PCA_area_volume_ratio_9_MLP,contraceptive,0,_delaunay_area_volume_ratio_9,MLP,PCA,area_volume_ratio,9,0.20,0.21,0.81,0.20,0.28,0.14
contraceptive__delaunay_PCA_area_volume_ratio_9_QDA,contraceptive,0,_delaunay_area_volume_ratio_9,QDA,PCA,area_volume_ratio,9,0.20,0.17,0.83,0.18,0.26,0.12
contraceptive__delaunay_PCA_area_volume_ratio_9_SVM,contraceptive,0,_delaunay_area_volume_ratio_9,SVM,PCA,area_volume_ratio,9,0.05,0.22,0.77,0.08,0.02,0.00
contraceptive__delaunay_PCA_area_volume_ratio_9_SGD,contraceptive,0,_delaunay_area_volume_ratio_9,SGD,PCA,area_volume_ratio,9,0.22,0.17,0.81,0.14,0.21,0.08
contraceptive__delaunay_PCA_edge_ratio_1_RF,contraceptive,0,_delaunay_edge_ratio_1,RF,PCA,edge_ratio,1,0.20,0.21,0.80,0.20,0.28,0.14
contraceptive__delaunay_PCA_edge_ratio_1_KNN,contraceptive,0,_delaunay_edge_ratio_1,KNN,PCA,edge_ratio,1,0.17,0.16,0.81,0.16,0.25,0.10
contraceptive__delaunay_PCA_edge_ratio_1_DTREE,contraceptive,0,_delaunay_edge_ratio_1,DTREE,PCA,edge_ratio,1,0.16,0.17,0.79,0.16,0.25,0.11
contraceptive__delaunay_PCA_edge_ratio_1_GNB,contraceptive,0,_delaunay_edge_ratio_1,GNB,PCA,edge_ratio,1,0.17,0.17,0.83,0.17,0.25,0.12
contraceptive__delaunay_PCA_edge_ratio_1_LRG,contraceptive,0,_delaunay_edge_ratio_1,LRG,PCA,edge_ratio,1,0.20,0.25,0.77,0.22,0.29,0.15
contraceptive__delaunay_PCA_edge_ratio_1_ABC,contraceptive,0,_delaunay_edge_ratio_1,ABC,PCA,edge_ratio,1,0.18,0.19,0.80,0.18,0.26,0.13
contraceptive__delaunay_PCA_edge_ratio_1_MLP,contraceptive,0,_delaunay_edge_ratio_1,MLP,PCA,edge_ratio,1,0.19,0.20,0.80,0.19,0.27,0.13
contraceptive__delaunay_PCA_edge_ratio_1_QDA,contraceptive,0,_delaunay_edge_ratio_1,QDA,PCA,edge_ratio,1,0.21,0.17,0.84,0.18,0.27,0.13
contraceptive__delaunay_PCA_edge_ratio_1_SVM,contraceptive,0,_delaunay_edge_ratio_1,SVM,PCA,edge_ratio,1,0.05,0.23,0.77,0.08,0.00,0.00
contraceptive__delaunay_PCA_edge_ratio_1_SGD,contraceptive,0,_delaunay_edge_ratio_1,SGD,PCA,edge_ratio,1,0.20,0.31,0.73,0.24,0.31,0.17
contraceptive__delaunay_PCA_edge_ratio_4_RF,contraceptive,0,_delaunay_edge_ratio_4,RF,PCA,edge_ratio,4,0.19,0.21,0.78,0.20,0.27,0.14
contraceptive__delaunay_PCA_edge_ratio_4_KNN,contraceptive,0,_delaunay_edge_ratio_4,KNN,PCA,edge_ratio,4,0.18,0.17,0.81,0.17,0.26,0.11
contraceptive__delaunay_PCA_edge_ratio_4_DTREE,contraceptive,0,_delaunay_edge_ratio_4,DTREE,PCA,edge_ratio,4,0.19,0.18,0.81,0.18,0.26,0.12
contraceptive__delaunay_PCA_edge_ratio_4_GNB,contraceptive,0,_delaunay_edge_ratio_4,GNB,PCA,edge_ratio,4,0.17,0.17,0.83,0.17,0.25,0.12
contraceptive__delaunay_PCA_edge_ratio_4_LRG,contraceptive,0,_delaunay_edge_ratio_4,LRG,PCA,edge_ratio,4,0.20,0.25,0.76,0.21,0.29,0.15
contraceptive__delaunay_PCA_edge_ratio_4_ABC,contraceptive,0,_delaunay_edge_ratio_4,ABC,PCA,edge_ratio,4,0.21,0.23,0.82,0.22,0.29,0.16
contraceptive__delaunay_PCA_edge_ratio_4_MLP,contraceptive,0,_delaunay_edge_ratio_4,MLP,PCA,edge_ratio,4,0.20,0.21,0.81,0.21,0.28,0.15
contraceptive__delaunay_PCA_edge_ratio_4_QDA,contraceptive,0,_delaunay_edge_ratio_4,QDA,PCA,edge_ratio,4,0.19,0.17,0.83,0.18,0.26,0.12
contraceptive__delaunay_PCA_edge_ratio_4_SVM,contraceptive,0,_delaunay_edge_ratio_4,SVM,PCA,edge_ratio,4,0.05,0.23,0.77,0.08,0.00,0.00
