MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,ionosphere,_train,DTREE,NONE,NONE,0.8879999999999999,0.882,0.8699999999999999,0.8800000000000001,0.8720000000000001,0.7659999999999999,0.8751282051282052
PCA,ionosphere,_train,GNB,NONE,NONE,0.8300000000000001,0.8099999999999999,0.8300000000000001,0.812,0.818,0.6699999999999999,0.8197264957264958
PCA,ionosphere,_train,KNN,NONE,NONE,0.8559999999999999,0.8320000000000001,0.71,0.82,0.738,0.5559999999999999,0.7710256410256411
PCA,ionosphere,_train,LRG,NONE,NONE,0.902,0.8879999999999999,0.8079999999999999,0.8800000000000001,0.8340000000000001,0.706,0.8487863247863249
PCA,ionosphere,_train,MLP,NONE,NONE,0.936,0.93,0.8960000000000001,0.93,0.912,0.8340000000000001,0.9136581196581196
PCA,ionosphere,_train,QDA,NONE,NONE,0.9079999999999999,0.8740000000000001,0.922,0.8779999999999999,0.8940000000000001,0.7959999999999999,0.8989743589743591
PCA,ionosphere,_train,RF,NONE,NONE,0.936,0.934,0.9159999999999999,0.934,0.924,0.8540000000000001,0.9246153846153844
PCA,ionosphere,_train,SGD,NONE,NONE,0.912,0.9059999999999999,0.8639999999999999,0.904,0.8779999999999999,0.778,0.8852307692307694
PCA,ionosphere,_train,SVM,NONE,NONE,0.8420000000000001,0.792,0.6279999999999999,0.7619999999999999,0.6459999999999999,0.43,0.7104615384615384
PCA,lsvt-voice-rehabilitation,_train,ABC,NONE,NONE,0.64,0.6359999999999999,0.542,0.6359999999999999,0.5740000000000001,0.338,0.5899918300653594
PCA,lsvt-voice-rehabilitation,_train,DTREE,NONE,NONE,0.6340000000000001,0.628,0.514,0.6239999999999999,0.5439999999999999,0.31399999999999995,0.5708741830065359
PCA,lsvt-voice-rehabilitation,_train,GNB,NONE,NONE,0.6579999999999999,0.43799999999999994,0.6940000000000001,0.364,0.36,0.172,0.5663807189542484
PCA,lsvt-voice-rehabilitation,_train,KNN,NONE,NONE,0.6519999999999999,0.6759999999999999,0.49200000000000005,0.6439999999999999,0.5,0.27,0.5845996732026143
PCA,lsvt-voice-rehabilitation,_train,LRG,NONE,NONE,0.4440000000000001,0.6659999999999999,0.33399999999999996,0.534,0.0,0.0,0.5
PCA,lsvt-voice-rehabilitation,_train,MLP,NONE,NONE,0.4440000000000001,0.6659999999999999,0.33399999999999996,0.534,0.0,0.0,0.5
PCA,lsvt-voice-rehabilitation,_train,QDA,NONE,NONE,0.4440000000000001,0.6659999999999999,0.33399999999999996,0.534,0.0,0.0,0.5
PCA,lsvt-voice-rehabilitation,_train,RF,NONE,NONE,0.764,0.7619999999999999,0.6519999999999999,0.75,0.6679999999999999,0.466,0.7074754901960784
PCA,lsvt-voice-rehabilitation,_train,SGD,NONE,NONE,0.382,0.6060000000000001,0.39399999999999996,0.466,0.0,0.0,0.5
PCA,lsvt-voice-rehabilitation,_train,SVM,NONE,NONE,0.4440000000000001,0.6659999999999999,0.33399999999999996,0.534,0.0,0.0,0.5
PCA,ozone-eighthr,_train,ABC,NONE,NONE,0.924,0.9360000000000002,0.354,0.93,0.5479999999999999,0.322,0.6450863313346658
PCA,ozone-eighthr,_train,DTREE,NONE,NONE,0.9159999999999999,0.912,0.398,0.9159999999999999,0.586,0.36200000000000004,0.6557669886742172
PCA,ozone-eighthr,_train,GNB,NONE,NONE,0.93,0.6920000000000001,0.8099999999999999,0.7739999999999999,0.75,0.556,0.7520452198534311
PCA,ozone-eighthr,_train,KNN,NONE,NONE,0.912,0.936,0.12000000000000002,0.914,0.22000000000000006,0.068,0.5291442926937597
PCA,ozone-eighthr,_train,LRG,NONE,NONE,0.8800000000000001,0.9399999999999998,0.06,0.91,0.0,0.0,0.5
