,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
94,PCA,glass,_SMOTE,LRG,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
95,PCA,glass,_SMOTE,MLP,NONE,NONE,0.29000000000000004,0.382,0.7979999999999999,0.322,0.374,0.26
96,PCA,glass,_SMOTE,QDA,NONE,NONE,0.002,0.052000000000000005,0.948,0.004,0.0,0.0
97,PCA,glass,_SMOTE,RF,NONE,NONE,0.276,0.29,0.8300000000000001,0.276,0.338,0.256
98,PCA,glass,_SMOTE,SGD,NONE,NONE,0.096,0.18,0.8859999999999999,0.11800000000000002,0.152,0.106
99,PCA,glass,_SMOTE,SVM,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
100,PCA,new-thyroid,_SMOTE,ABC,NONE,NONE,0.132,0.126,0.8560000000000001,0.11600000000000002,0.134,0.098
101,PCA,new-thyroid,_SMOTE,DTREE,NONE,NONE,0.136,0.136,0.8619999999999999,0.136,0.14,0.13
102,PCA,new-thyroid,_SMOTE,GNB,NONE,NONE,0.136,0.128,0.8640000000000001,0.132,0.134,0.122
103,PCA,new-thyroid,_SMOTE,KNN,NONE,NONE,0.124,0.132,0.866,0.128,0.136,0.126
104,PCA,new-thyroid,_SMOTE,LRG,NONE,NONE,0.154,0.16799999999999998,0.8539999999999999,0.132,0.138,0.08600000000000001
105,PCA,new-thyroid,_SMOTE,MLP,NONE,NONE,0.136,0.132,0.8640000000000001,0.134,0.138,0.124
106,PCA,new-thyroid,_SMOTE,QDA,NONE,NONE,0.136,0.128,0.8619999999999999,0.132,0.134,0.122
107,PCA,new-thyroid,_SMOTE,RF,NONE,NONE,0.136,0.132,0.8619999999999999,0.134,0.136,0.128
108,PCA,new-thyroid,_SMOTE,SGD,NONE,NONE,0.14400000000000002,0.16399999999999998,0.884,0.136,0.14,0.106
